Samples,Random_Acc,Uncertainty_Acc
0,0.23251231527093597,0.23251231527093597
50,0.29458128078817736,0.28374384236453204
100,0.3142857142857143,0.33004926108374383
150,0.3477832512315271,0.3694581280788177
200,0.3566502463054187,0.3665024630541872
250,0.4,0.3812807881773399
300,0.36847290640394087,0.4098522167487685
350,0.38620689655172413,0.41379310344827586
400,0.41182266009852214,0.41379310344827586
450,0.40492610837438425,0.42758620689655175
500,0.4266009852216749,0.43349753694581283
