Model,Threshold,Accuracy,Rejection_Rate,Ghost_Prediction_Rate
Baseline (Source Only),0.0,0.21241991128634796,0.0,0.005421389847215377
Baseline (Source Only),0.3,0.2124505928853755,0.0024642681123706258,0.005434782608695652
Baseline (Source Only),0.5,0.21384928716904278,0.032035485460818136,0.004073319755600814
Baseline (Source Only),0.7,0.21424468696151636,0.14194184327254805,0.0022975301550832855
Baseline (Source Only),0.8,0.21380574221136225,0.19319862000985707,0.0012217470983506415
Baseline (Source Only),0.9,0.21612466124661248,0.2725480532281912,0.0006775067750677507
Baseline (Source Only),0.95,0.2182890855457227,0.33169048792508626,0.0007374631268436578
